Zone,Channel,Year,Month,Ton,Amount,Baht
N2,N2MK,2018,6,12.68,13187.199999999999,1040.0
N2,N2MK,2019,6,1.95,1989.0,1020.0
N2,N2MK,2019,11,2.88,3024.0,1050.0
N2,N2MK,2020,1,1.0,920.0,920.0
N2,N2MK,2020,2,1.16,1044.0,900.0000000000001
N2,N2MK,2020,4,1.79,1575.2,880.0
N2,N2MK,2020,5,3.77,3317.6,880.0
N2,N2MK,2020,6,1.49,1311.2,880.0
N2,N2NS,2017,4,36.61,42101.5,1150.0
N2,N2NS,2017,5,23.13,27293.4,1180.0
N2,N2NS,2017,10,1.04,1227.2,1180.0
N2,N2NS,2017,11,4.47,5274.6,1180.0000000000002
N2,N2NS,2017,12,38.28999999999999,45182.19999999999,1180.0
N2,N2NS,2018,1,26.669999999999998,30876.9,1157.7390326209224
N2,N2NS,2018,2,1.59,1923.9,1210.0
N2,N2NS,2018,3,12.08,14327.300000000001,1186.0347682119207
N2,N2NS,2018,4,20.29,23942.2,1180.0
N2,N2NS,2018,5,2.65,3074.0,1160.0
N2,N2NS,2018,6,14.58,17079.3,1171.4197530864196
N2,N2NS,2018,7,27.589999999999996,31797.8,1152.511779630301
N2,N2NS,2018,8,26.47,29117.0,1100.0
N2,N2NS,2018,9,10.48,11098.3,1058.9980916030534
N2,N2NS,2018,10,6.7,7169.0,1070.0
N2,N2NS,2018,11,2.69,2824.5,1050.0
N2,N2NS,2018,12,405.34999999999985,1200.0,2.9604045886271133
N2,N2NS,2019,1,154.07,186175.0,1208.379308106705
N2,N2NS,2019,2,175.8,200596.4,1141.0489192263935
N2,N2NS,2019,3,181.36,209096.00000000003,1152.9333921482137
N2,N2NS,2019,4,155.41999999999993,179151.75,1152.6943121863344
N2,N2NS,2019,5,195.92000000000004,226339.0,1155.2623519804
N2,N2NS,2019,6,162.94,188378.0,1156.118816742359
N2,N2NS,2019,7,64.41999999999999,63564.799999999996,986.7246196833282
N2,N2NS,2019,8,21.180000000000007,19893.8,939.2728989612839
N2,N2NS,2019,9,12.72,12084.0,950.0
N2,N2NS,2019,10,55.650000000000006,58996.1,1060.127583108715
N2,N2NS,2019,11,38.60999999999999,43821.5,1134.9779849779852
N2,N2NS,2019,12,36.07,39180.5,1086.2350984197394
N2,N2NS,2020,1,49.81,50663.00000000001,1017.1250752860873
